"follower_id","followee_id"
"960","1"
"40","2"
"453","3"
"990","3"
"395","3"
"290","3"
"319","3"
"845","3"
"590","3"
"827","3"
"744","3"
"278","3"
"125","3"
"243","3"
"717","3"
"777","3"
"42","3"
"897","3"
"639","3"
"768","4"
"547","4"
"563","4"
"158","4"
"838","4"
"421","5"
"86","6"
"726","6"
"139","6"
"839","6"
"330","7"
"833","7"
"949","7"
"346","7"
"91","7"
"288","7"
"207","7"
"582","7"
"612","7"
"220","7"
"583","7"
"596","7"
"559","7"
"945","7"
"122","7"
"936","7"
"933","7"
"121","7"
"13","7"
"621","7"
"695","7"
"834","7"
"632","7"
"928","8"
"66","8"
"750","9"
"292","9"
"853","9"
"202","9"
"105","9"
"463","9"
"838","9"
"1011","9"
"25","9"
"609","9"
"410","9"
"283","9"
"620","9"
"277","9"
"768","9"
"59","9"
"860","9"
"367","9"
"647","9"
"950","9"
"497","9"
"654","9"
"840","9"
"10","9"
"573","9"
"147","9"
"458","9"
"672","9"
"770","9"
"939","9"
"298","9"
"623","9"
"292","10"
"973","10"
"997","10"
"276","10"
"24","10"
"498","10"
"865","10"
"301","10"
"807","10"
"412","10"
"654","10"
"416","10"
"939","10"
"331","10"
"4","10"
"572","10"
"551","10"
"54","10"
"811","10"
"733","10"
"570","10"
"137","10"
"793","10"
"768","10"
"414","10"
"410","10"
"458","10"
"310","10"
"104","10"
"954","10"
"25","10"
"944","10"
"563","10"
"105","10"
"277","10"
"855","10"
"561","10"
"463","10"
"158","10"
"202","10"
"648","10"
"770","10"
"840","10"
"478","10"
"853","10"
"647","10"
"552","10"
"752","10"
"348","10"
"178","10"
"59","10"
"111","10"
"216","10"
"565","10"
"882","10"
"756","10"
"177","10"
"856","10"
"620","10"
"156","10"
"883","10"
"860","10"
"623","10"
"609","10"
"123","10"
"173","10"
"547","10"
"497","10"
"75","10"
"367","10"
"323","10"
"423","10"
"707","10"
"147","10"
"9","10"
"903","10"
"471","10"
"705","10"
"672","10"
"660","10"
"950","10"
"283","10"
"263","10"
"838","10"
"976","10"
"298","10"
"371","10"
"934","10"
"1011","10"
"750","10"
"68","10"
"592","10"
"294","10"
"267","10"
"622","10"
"455","10"
"762","11"
"6","11"
"233","11"
"781","12"
"53","12"
"921","12"
"910","12"
"338","12"
"241","12"
"683","12"
"152","13"
"256","14"
"536","14"
"425","14"
"304","14"
"791","15"
"739","15"
"106","15"
"487","15"
"675","15"
"597","15"
"890","15"
"504","15"
"198","15"
"994","15"
"201","16"
"238","17"
"205","17"
"288","18"
"961","18"
"713","18"
"508","18"
"848","18"
"885","18"
"789","18"
"545","18"
"920","18"
"788","18"
"77","18"
"444","18"
"792","18"
"245","18"
"740","18"
"401","18"
"935","18"
"533","19"
"112","19"
"929","19"
