"like_id","post_id","user_id"
"1768884917","1","937"
"1070538107","1","803"
"1422351225","1","489"
"14399820","1","737"
"1821076695","1","113"
"416960022","1","276"
"535763692","1","824"
"354565602","1","56"
"1980469665","2","983"
"2121626801","3","609"
"133887692","3","28"
"1760176453","3","342"
"1642850438","3","534"
"1049997494","3","198"
"821110396","3","846"
"1812107871","3","718"
"928219763","4","425"
"1104957126","4","438"
"1923547653","5","538"
"908355724","5","286"
"1688022085","5","496"
"513799477","6","853"
"1996745973","7","499"
"1669583189","7","518"
"1260398876","7","476"
"393141495","7","896"
"910096234","7","309"
"349784793","7","877"
"1303310377","7","700"
"19154143","8","922"
"907980194","8","877"
"755023026","9","608"
"1127483690","10","651"
"458182598","10","195"
"1181874492","10","971"
"830306742","10","503"
"1653012982","10","452"
"720606293","10","664"
"1735263064","10","660"
"1101084716","11","186"
"1904885560","11","301"
"2147324009","11","313"
"1706989532","11","227"
"1578282411","11","926"
"1127464479","11","569"
"1943072217","12","753"
"508668643","13","878"
"1019250786","14","269"
"876232615","14","935"
"1070471161","15","54"
"89821592","15","481"
"178744680","16","863"
"2009988487","16","247"
"2048266145","16","930"
"2042126915","16","516"
"1153444109","16","305"
"847954565","16","1004"
"1126334308","17","10"
"508252482","17","930"
"1639668230","17","947"
"440282540","17","261"
"1787211024","17","949"
"2062989898","17","217"
"1148111223","17","327"
"1262153675","17","141"
"1836867565","17","845"
"1015079883","17","833"
"1001953385","18","3"
"49854908","18","278"
"59276645","18","231"
"1395536288","18","1008"
"709866449","19","974"
"635408965","19","917"
"291266709","20","232"
"1555419507","20","333"
"133618356","20","835"
"251791274","21","794"
"749530281","21","65"
"720495313","21","808"
"1306574084","21","411"
"1619113980","21","714"
"1017706552","21","678"
"1279202334","22","25"
"518688323","23","185"
"1168826616","23","370"
"1872925518","24","766"
"73642212","24","84"
"2016412597","24","43"
"481028703","24","132"
"771501267","24","209"
"836625821","24","230"
"164909109","24","319"
"1311068056","25","300"
"1421449264","26","831"
"127183790","27","248"
"1532538601","27","157"
"979404812","27","829"
"170885745","27","270"
"31000087","27","720"
"321486620","27","441"
"752086091","27","566"
"1286963917","27","97"
"1797345590","28","578"
"1871977393","28","753"
"369240452","28","640"
"681998794","29","527"
"993224067","29","52"
"2124199057","29","430"
"1557068927","29","700"
"1561477891","29","986"
"533881681","29","943"
"1157647859","29","750"
"26293790","29","753"
"260653351","29","269"
"932354412","29","912"
"801581212","30","745"
"238245159","30","608"
"1140239173","30","875"
"486931786","31","317"
"980373265","31","986"
"166164070","31","321"
"1772128775","31","682"
"2102954305","31","214"
"899888953","32","870"
"2050589068","32","133"
"635191431","32","356"
"1339364386","33","541"
"503167283","33","944"
"896179413","34","901"
"1794080386","35","625"
"1083799223","35","549"
"1762454202","35","655"
"1623340114","35","321"
"1145640771","35","106"
"1517673512","35","151"
"884009963","35","709"
"1810843299","36","70"
"567592115","36","171"
"387243806","36","677"
"425691288","36","789"
"173021271","37","634"
"202420691","38","82"
"2063654594","38","957"
"485007637","38","955"
"343079706","38","169"
"1677287758","38","774"
"302296781","38","662"
"645542325","38","738"
"32530188","38","602"
"915651227","38","428"
"593668279","39","425"
"2029925544","39","355"
"1064792546","40","194"
"508357076","40","368"
"1009534126","41","1009"
"230250817","41","33"
"1897373005","41","768"
"1985734054","41","155"
"632080712","41","773"
"563950201","42","73"
"1142848873","43","172"
"947070531","43","221"
"685950760","43","493"
"807021645","43","534"
"752786439","43","537"
"1028064735","44","373"
"917357757","44","471"
"375898831","44","797"
"2034323216","45","45"
"411818297","45","544"
"168110464","45","699"
"469879051","45","119"
"62019906","45","405"
"2130329049","45","407"
"1318335958","46","395"
"1595920281","46","256"
"843749762","46","118"
"613977257","46","42"
"1671038486","46","92"
"1661560593","46","190"
"769200099","46","746"
"533189478","47","724"
"697925664","48","331"
"1880772475","48","144"
"1076546983","49","207"
"233774844","49","44"
"1733296048","50","438"
"1980143616","50","101"
"1599500277","50","641"
"680179653","50","612"
"154638562","51","98"
"1607363006","51","770"
"1218535040","51","25"
"399231389","52","47"
"897872414","52","80"
"1128791411","52","522"
"582426421","53","348"
"624570219","53","462"
"178892110","53","128"
"969337475","53","957"
"478196349","53","105"
"1291509265","53","322"
"1713815391","53","12"
"1942907297","53","148"
"51926039","54","321"
"556685019","54","1006"
"1829671581","55","195"
"1661943294","55","457"
"1922692758","55","348"
"488605143","55","222"
"143299362","55","472"
"1910872280","56","862"
"918769948","56","1008"
"85088478","56","984"
"1774699694","56","852"
"46526702","56","364"
"1316833034","57","571"
"1203732388","58","864"
"1878723703","58","894"
"1314160077","58","364"
"1867519641","58","81"
"1287038247","59","848"
"792569634","59","575"
"166339380","59","857"
"1882587539","60","187"
"349861514","60","986"
"1375861087","60","526"
"929049192","60","712"
"128852215","61","599"
"811234080","61","307"
"65014461","61","985"
"30021419","61","825"
"2069329151","61","902"
"1653299505","61","87"
"1186236461","61","892"
"1810356792","61","232"
"424637312","61","765"
"2019823172","62","147"
"1361935312","62","496"
"187575930","62","943"
"1334736476","62","153"
"4762750","62","751"
"456087758","62","181"
"1310491961","62","302"
"1091241174","62","526"
"1400417073","63","1013"
"1123360432","63","516"
"1868947386","63","520"
"1794833566","64","596"
"1428280555","65","537"
"890083554","65","158"
"731975332","66","484"
"1281757260","66","119"
"1359902669","67","694"
"177850088","67","665"
"2130896328","67","464"
"413335766","67","680"
"820720217","68","300"
"1134252300","68","200"
"1140044166","68","648"
